,ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
1533,Col6a6,Col6a6,0.6089074,0.3274193548387096,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,SMCs & Pericytes,ASPC,0.40069366,0.0
166,Col1a1,Col1a1,0.5333531,0.2634408602150537,Itga5,Itga5,0.24068525,0.1344086021505376,ASPC,ASPC,0.38701916,0.0
39,Col1a1,Col1a1,0.5333531,0.2634408602150537,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,ASPC,ASPC,0.36965546,0.0
1601,Col5a2,Col5a2,0.53501254,0.2758064516129032,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,SMCs & Pericytes,ASPC,0.36374623,0.0
41,Col1a1,Col1a1,0.5333531,0.2634408602150537,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.3629165,0.0
343,Col4a2,Col4a2,0.5020133,0.26320357054302,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,Adipocytes,ASPC,0.35398558,0.0
91,Col4a4,Col4a4,0.49270275,0.2701612903225806,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,ASPC,ASPC,0.3493303,0.0
345,Col4a2,Col4a2,0.5020133,0.26320357054302,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,Adipocytes,ASPC,0.34724662,0.0
93,Col4a4,Col4a4,0.49270275,0.2701612903225806,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.34259135,0.0
1609,Col3a1,Col3a1,0.44042873,0.2435483870967742,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,SMCs & Pericytes,ASPC,0.31645432,0.0
11280,Col18a1,Col18a1,0.20642743,0.1064516129032258,Itgb5,Itgb5,0.39974752,0.2209677419354838,SMCs & Pericytes,SMCs & Pericytes,0.30308747,0.0
1676,Col18a1,Col18a1,0.20642743,0.1064516129032258,Itgb5,Itgb5,0.39611614,0.2190860215053763,SMCs & Pericytes,ASPC,0.3012718,0.0
101,Col4a3,Col4a3,0.38309735,0.1948924731182795,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,ASPC,ASPC,0.2945276,0.0
1559,Col6a2,Col6a2,0.37403306,0.214516129032258,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,SMCs & Pericytes,ASPC,0.28999546,0.0
103,Col4a3,Col4a3,0.38309735,0.1948924731182795,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.28778863,0.0
2786,Col18a1,Col18a1,0.20642743,0.1064516129032258,Itgb5,Itgb5,0.3660292,0.2024134225969088,SMCs & Pericytes,Adipocytes,0.2862283,0.0
368,Col7a1,Col7a1,0.37828016,0.2069592528308124,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,Adipocytes,ASPC,0.28538004,0.0
1561,Col6a2,Col6a2,0.37403306,0.214516129032258,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,SMCs & Pericytes,ASPC,0.28325647,0.0
153,Col14a1,Col14a1,0.34756875,0.1653225806451612,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.27002433,0.0
1597,Col5a3,Col5a3,0.33932754,0.1838709677419354,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,SMCs & Pericytes,ASPC,0.2659037,0.0
1605,Col5a1,Col5a1,0.3087219,0.1806451612903225,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,SMCs & Pericytes,ASPC,0.2506009,0.0
1593,Col7a1,Col7a1,0.30569142,0.1693548387096774,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,SMCs & Pericytes,ASPC,0.24908566,0.0
121,Col12a1,Col12a1,0.29124317,0.1397849462365591,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.24186154,0.0
1585,Col12a1,Col12a1,0.2805932,0.1548387096774193,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,SMCs & Pericytes,ASPC,0.23653655,0.0
129,Col8a1,Col8a1,0.25993276,0.1008064516129032,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.22620633,0.0
1625,Col18a1,Col18a1,0.20642743,0.1064516129032258,Itga5,Itga5,0.24068525,0.1344086021505376,SMCs & Pericytes,ASPC,0.22355634,0.0
69,Col6a1,Col6a1,0.23917955,0.1330645161290322,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,ASPC,ASPC,0.22256869,0.0
133,Col7a1,Col7a1,0.25196964,0.1411290322580645,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.22222477,0.001
85,Col4a5,Col4a5,0.23553437,0.1276881720430107,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,ASPC,ASPC,0.2207461,0.0
71,Col6a1,Col6a1,0.23917955,0.1330645161290322,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.21582973,0.0
87,Col4a5,Col4a5,0.23553437,0.1276881720430107,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.21400714,0.0
360,Col12a1,Col12a1,0.21471149,0.118770146293082,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,Adipocytes,ASPC,0.2035957,0.0
1613,Col18a1,Col18a1,0.20642743,0.1064516129032258,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,SMCs & Pericytes,ASPC,0.19945367,0.0
114,Col15a1,Col15a1,0.20552093,0.1196236559139785,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.19900042,0.0
