,ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,cellchat_pvals
3061,App,App,0.5607901479461113,0.183471787387108,7.3557024,Lrp6,Lrp6,0.6285714285714286,0.28187475585092364,Adipocytes,Adipocytes_2,0.09373673983821804,1.0
10338,Vegfa,Vegfa,0.8187866765848417,0.32496960412876263,7.3557024,Itgb1,Itgb1,0.5403225806451613,0.15882077207538742,Adipocytes,SMCs & Pericytes,0.09356564141679294,0.0
4349,App,App,0.6150375939849624,0.2116366360331559,7.3557024,Tspan12,Tspan12,0.7193877551020408,0.24342544743863392,Adipocytes_2,Endothelial cells,0.09341085303491233,0.975
7844,App,App,0.7364341085271318,0.23345652178986342,7.3557024,Tspan12,Tspan12,0.6030534351145038,0.21904456711663783,Neuronal-like cells,Mesothelium,0.09278518270762014,0.724
3098,Nampt,Nampt,0.7090668650301678,0.24937899795125457,7.3557024,Insr,Insr,0.6225563909774436,0.20286298946987383,Adipocytes,Adipocytes_2,0.0918828715688341,0.0
7982,Vegfa,Vegfa,0.5968992248062015,0.20335639263151767,7.3557024,Nrp1,Nrp1,0.6793893129770993,0.24814691013096957,Neuronal-like cells,Mesothelium,0.09167251619076813,1.0
4084,Sorbs1,Sorbs1,0.7244623655913979,0.2883670752272815,7.3557024,Itga1,Itga1,0.5657596371882087,0.17466941096819105,ASPC,Endothelial cells,0.09151844611159334,0.0
9774,Vegfa,Vegfa,0.5968992248062015,0.20335639263151767,7.3557024,Nrp1,Nrp1,0.6821705426356589,0.24755623224024126,Neuronal-like cells,Neuronal-like cells,0.09147426389296558,1.0
8039,App,App,0.7322580645161291,0.2297337791340427,7.3557024,Tspan12,Tspan12,0.6030534351145038,0.21904456711663783,SMCs & Pericytes,Mesothelium,0.09144090557198903,0.799
10415,App,App,0.6150375939849624,0.2116366360331559,7.3557024,Tspan12,Tspan12,0.6903225806451613,0.23540591400533098,Adipocytes_2,SMCs & Pericytes,0.09061232586988531,0.915
5872,App,App,0.6150375939849624,0.2116366360331559,7.3557024,Tspan12,Tspan12,0.7153748411689962,0.23519420199343627,Adipocytes_2,Immune cells,0.09053821193618458,0.924
3385,App,App,0.5463786531130876,0.17636496269356736,7.3557024,Lrp6,Lrp6,0.6285714285714286,0.28187475585092364,Immune cells,Adipocytes_2,0.09043418311260384,1.0
8369,Lamc1,Lamc1,0.75,0.27120350759003,7.3557024,Itga1,Itga1,0.5658914728682171,0.1827084467509649,ASPC,Neuronal-like cells,0.09016661993213518,0.0
3116,App,App,0.6150375939849624,0.2116366360331559,7.3557024,Tspan12,Tspan12,0.6804511278195489,0.23240075935629828,Adipocytes_2,Adipocytes_2,0.08955918017595385,0.984
8685,App,App,0.6150375939849624,0.2116366360331559,7.3557024,Tspan12,Tspan12,0.6124031007751938,0.23196676674861044,Adipocytes_2,Neuronal-like cells,0.08940688741510042,0.803
1239,App,App,0.7364341085271318,0.23345652178986342,7.3557024,Tspan12,Tspan12,0.5981182795698925,0.208524413951461,Neuronal-like cells,ASPC,0.08872432303048663,0.906
4497,App,App,0.6218820861678005,0.1988029515832529,7.3557024,Tspan12,Tspan12,0.7193877551020408,0.24342544743863392,Endothelial cells,Endothelial cells,0.08824626845106426,0.993
1515,App,App,0.7322580645161291,0.2297337791340427,7.3557024,Tspan12,Tspan12,0.5981182795698925,0.208524413951461,SMCs & Pericytes,ASPC,0.08743320971779259,0.973
4082,Lamc1,Lamc1,0.75,0.27120350759003,7.3557024,Itga1,Itga1,0.5657596371882087,0.17466941096819105,ASPC,Endothelial cells,0.08654269344052781,0.0
7809,Spon1,Spon1,0.5114503816793893,0.15063506553794218,7.3557024,App,App,0.8473282442748091,0.3108438459782189,Mesothelium,Mesothelium,0.08562898584770122,0.0
10530,App,App,0.6218820861678005,0.1988029515832529,7.3557024,Tspan12,Tspan12,0.6903225806451613,0.23540591400533098,Endothelial cells,SMCs & Pericytes,0.08558786153643992,0.995
6003,App,App,0.6218820861678005,0.1988029515832529,7.3557024,Tspan12,Tspan12,0.7153748411689962,0.23519420199343627,Endothelial cells,Immune cells,0.08551747076605504,0.994
3754,Alcam,Alcam,0.6821705426356589,0.23232129746183494,7.3557024,Nrp1,Nrp1,0.531578947368421,0.19954789798098357,Neuronal-like cells,Adipocytes_2,0.08485118272132276,0.0
7243,App,App,0.6150375939849624,0.2116366360331559,7.3557024,Tspan12,Tspan12,0.6030534351145038,0.21904456711663783,Adipocytes_2,Mesothelium,0.08484888589778118,0.948
2006,Nampt,Nampt,0.7090668650301678,0.24937899795125457,7.3557024,Insr,Insr,0.5952971319943797,0.18581080320038357,Adipocytes,Adipocytes,0.08481447431913516,0.0
3218,App,App,0.6218820861678005,0.1988029515832529,7.3557024,Tspan12,Tspan12,0.6804511278195489,0.23240075935629828,Endothelial cells,Adipocytes_2,0.08458768103208306,0.999
8861,App,App,0.6218820861678005,0.1988029515832529,7.3557024,Tspan12,Tspan12,0.6124031007751938,0.23196676674861044,Endothelial cells,Neuronal-like cells,0.08444305806468592,0.948
3433,Nampt,Nampt,0.6302414231257941,0.22513976136822278,7.3557024,Insr,Insr,0.6225563909774436,0.20286298946987383,Immune cells,Adipocytes_2,0.08369951379972725,0.153
3310,Vegfa,Vegfa,0.6785714285714286,0.22855029829134216,7.3557024,Nrp1,Nrp1,0.531578947368421,0.19954789798098357,Endothelial cells,Adipocytes_2,0.08358901927884861,1.0
3911,Vegfa,Vegfa,0.6951612903225807,0.22744313328008134,7.3557024,Nrp1,Nrp1,0.531578947368421,0.19954789798098357,SMCs & Pericytes,Adipocytes_2,0.08321778679691333,1.0
10393,Nampt,Nampt,0.7090668650301678,0.24937899795125457,7.3557024,Insr,Insr,0.582258064516129,0.1805833632232955,Adipocytes,SMCs & Pericytes,0.082625529978644,0.284
4231,App,App,0.5607901479461113,0.183471787387108,7.3557024,Tspan12,Tspan12,0.7193877551020408,0.24342544743863392,Adipocytes,Endothelial cells,0.0819989762052935,1.0
3188,Vegfa,Vegfa,0.6601503759398496,0.2229463780885628,7.3557024,Nrp1,Nrp1,0.531578947368421,0.19954789798098357,Adipocytes_2,Adipocytes_2,0.08170692797641531,1.0
10694,Vegfa,Vegfa,0.7522236340533672,0.2791651325979873,7.3557024,Itgb1,Itgb1,0.5403225806451613,0.15882077207538742,Immune cells,SMCs & Pericytes,0.08145175474373932,0.0
450,App,App,0.6150375939849624,0.2116366360331559,7.3557024,Tspan12,Tspan12,0.5981182795698925,0.208524413951461,Adipocytes_2,ASPC,0.08110431607777374,1.0
5853,Nampt,Nampt,0.7090668650301678,0.24937899795125457,7.3557024,Insr,Insr,0.5616264294790343,0.1766487120532534,Adipocytes,Immune cells,0.08097101018322067,0.583
11055,Lamc1,Lamc1,0.7054263565891473,0.21492206579970757,7.3557024,Itga1,Itga1,0.646774193548387,0.20379137990562185,Neuronal-like cells,SMCs & Pericytes,0.08054307394644396,0.0
2980,Vegfa,Vegfa,0.646505376344086,0.21923332076906912,7.3557024,Nrp1,Nrp1,0.531578947368421,0.19954789798098357,ASPC,Adipocytes_2,0.08045562405103637,1.0
7364,App,App,0.6218820861678005,0.1988029515832529,7.3557024,Tspan12,Tspan12,0.6030534351145038,0.21904456711663783,Endothelial cells,Mesothelium,0.08011585012406254,0.995
3587,Vegfa,Vegfa,0.648854961832061,0.2165931377919368,7.3557024,Nrp1,Nrp1,0.531578947368421,0.19954789798098357,Mesothelium,Adipocytes_2,0.07956380332477599,1.0
