,ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
1356,Vegfa,Vegfa,1.4252745,0.5968992248062015,Itga9,Itga9,0.20595784,0.10752688172043011,Neuronal-like cells,ASPC,0.8156162,1.0
9361,Timp2,Timp2,0.8198959,0.4198473282442748,Itgb1,Itgb1,0.8110319,0.3953488372093023,Mesothelium,Neuronal-like cells,0.8154639,0.0
6900,Adipoq,Adipoq,0.89231575,0.44516129032258067,Adipor2,Adipor2,0.7383375,0.3786531130876747,SMCs & Pericytes,Immune cells,0.81532663,1.0
6230,Psap,Psap,1.0435213,0.5133418043202033,Lrp1,Lrp1,0.586927,0.31003811944091486,Immune cells,Immune cells,0.8152242,0.0
4769,Ntrk3,Ntrk3,1.3665811,0.5603557814485387,Ptprs,Ptprs,0.26367772,0.14852607709750568,Immune cells,Endothelial cells,0.8151294,1.0
2222,Lamc1,Lamc1,1.2518802,0.5702947845804989,Dag1,Dag1,0.37819648,0.20939747086536079,Endothelial cells,Adipocytes,0.8150383,0.0
10029,Vcl,Vcl,1.2028067,0.5790322580645161,Itgb5,Itgb5,0.4268755,0.2248062015503876,SMCs & Pericytes,Neuronal-like cells,0.8148411,0.0
10505,Igf1,Igf1,1.2098293,0.493984962406015,Igf2r,Igf2r,0.41962588,0.2435483870967742,Adipocytes_2,SMCs & Pericytes,0.8147276,0.0
7205,B2m,B2m,0.8195281,0.4179684271427391,Tfrc,Tfrc,0.8091629,0.366412213740458,Adipocytes,Mesothelium,0.8143455,1.0
5277,Igf1,Igf1,0.45584783,0.2248062015503876,Insr,Insr,1.172615,0.5521541950113379,Neuronal-like cells,Endothelial cells,0.81423146,0.438
4737,App,App,1.217771,0.5463786531130876,Lrp1,Lrp1,0.41055176,0.22732426303854875,Immune cells,Endothelial cells,0.8141614,0.998
766,Lamc1,Lamc1,1.2518802,0.5702947845804989,Dag1,Dag1,0.3762886,0.20698924731182797,Endothelial cells,ASPC,0.8140844,0.0
5808,App,App,1.2620152,0.5607901479461113,Cd74,Cd74,0.36545223,0.17916137229987295,Adipocytes,Immune cells,0.8137337,0.0
